Loan Application Number,Loan Amount,Loan Duration,Interest Rate,EMI,Borrower Rating by Bank,Borrower's Duration of Employment,Home Ownership of Borrower,Annual Income of Borrower,Borrower's Verification Status,Loan Issue Date,Purpose of Loan,State,Debt-to-Income Ratio (A ratio calculated based on Borrower's monthly debt repayments to self-reported monthly income),Borrower Delinquency in Last Two Years,Date of Borrower's First  Loan,Number of Months Since the Borrower's Last Delinquency,The Number of Months Since the Borrower's Credit Record  was Updated,Number of Times the Borrower has Availed Loan from the Bank,Number of Negative Comments About the Borrower in Credit History,Total Credit Revolving Balance,Percentage of Credit the Borrower is Using Relative to All Available Revolving Credit,Number of Times the Borrower has Availed Loan from All Banks,Late Fees Received To Date,Last Month Payment was Received,Last Amount Received as Payment,Loan Status
26593,55001,51 months,14.65%,1455.124509,CD,6 years,Under Mortgage,453978,Not Verified,15-06-2011,Agriculture,Punjab,10.40517888,0,14-12-1994,80,,5,0,76957,0.690983125,11,0,01-08-2011,48461.20451,???
26594,88107,47 months,11.33%,2329.819207,BC,2 years,Rental,1647219,Not Verified,08-09-2010,Pay-off Other Loans,Uttar Pradesh,6.976100565,0,05-11-1986,,85,4,1,68963,0.742297569,18,0,01-11-2013,24827.89921,???
26595,99130,44 months,10.69%,2732.95338,BE,5 years,Rental,427306,Not Verified,25-05-2008,Relocation,Andhra Pradesh,11.5429653,0,25-02-2004,,,12,0,97149,0.528454115,17,0,01-11-2011,2738.56338,???
26596,87891,45 months,16.36%,2625.988124,EA,3 years,Rental,391269,Source Verified,26-09-2010,Relocation,Uttar Pradesh,0.294124474,0,19-12-2007,,,5,0,48494,0.736508544,2,325.7527164,01-08-2013,2625.988124,???
26597,132031,48 months,11.83%,3465.878282,BC,3 years,Rental,727710,Not Verified,28-02-2010,Pay-off Other Loans,Haryana,12.92289733,1,11-04-2001,3,,16,0,225903,0.404935516,21,0,01-12-2013,3895.868282,???
26598,43960,45 months,11.68%,1211.078036,BC,10 years and above,Under Mortgage,1172234,Not Verified,17-01-2012,Pay-off Other Loans,West Bengal,5.461835727,1,07-01-1985,18,,14,0,67000,0.384415437,44,0,01-12-2013,28782.13804,???
26599,39172,40 months,13.68%,1224.878205,CC,4 years,Under Mortgage,445310,Not Verified,20-04-2010,Pay Credit Card Bill,Madhya Pradesh,19.68108247,0,20-11-2006,,,11,0,44269,0.20939286,14,0,01-07-2011,27992.4982,???
26600,176184,60 months,12.53%,3966.698903,CA,8 years,Under Mortgage,1094994,Not Verified,22-02-2011,Pay Credit Card Bill,Bihar,12.84010407,0,27-01-2001,,,18,0,212324,0.227804904,29,0,01-09-2015,3966.698903,???
26601,242081,57 months,18.25%,6380.289108,EB,8 years,Rental,719233,Verified,15-09-2011,Pay-off Other Loans,Odisha,15.96405218,0,03-01-2003,,,6,0,44040,0.79237832,5,0,01-06-2014,6380.289108,???
26602,175855,58 months,11.95%,4005.82802,BE,7 years,Rental,482119,Verified,13-09-2010,Pay-off Other Loans,Maharashtra,18.86664202,0,07-05-1996,,,10,0,117810,0.809831716,23,0,01-06-2013,84240.92802,???
26603,208894,60 months,17.10%,5202.63915,ED,2 years,Rental,506630,Verified,09-02-2011,Pay-off Other Loans,Rajasthan,20.12140564,0,10-03-1999,,,11,0,138203,0.834953153,29,0,01-09-2015,5202.63915,???
26604,88083,44 months,11.88%,2479.060411,BC,10 years and above,Rental,606764,Not Verified,29-12-2009,Others,Odisha,17.30849389,0,17-02-2000,,,8,0,235501,0.851382988,7,0,01-06-2013,2778.590411,???
26605,19956,42 months,8.45%,550.5575379,AE,10 years and above,Rental,403573,Source Verified,18-07-2011,Others,Uttarakhand,20.78359165,1,12-06-2000,18,,1,0,0,0,10,0,01-02-2014,550.5575379,???
26606,167225,46 months,15.88%,4876.338944,EA,10 years and above,Under Mortgage,1347943,Verified,05-01-2011,Pay Credit Card Bill,Himachal Pradesh,15.39085752,1,08-10-1992,7,,10,0,513750,0.825888464,31,0,01-01-2014,49528.30894,???
26607,175926,60 months,9.58%,3701.685731,BC,10 years and above,Under Mortgage,387098,Verified,06-01-2011,Pay-off Other Loans,Kerala,15.47413215,0,25-10-1996,,,6,0,54345,0.375249815,14,0,01-03-2015,36297.32573,???
26608,109987,43 months,14.02%,3268.678694,CC,7 years,Rental,469316,Not Verified,27-09-2010,Pay-off Other Loans,Maharashtra,6.336544525,0,24-05-2006,,,8,0,100195,0.381766471,13,0,01-02-2014,3469.868694,???
26609,93445,45 months,17.25%,2834.304259,EE,2 years,Rental,2812291,Verified,19-11-2010,Pay-off Other Loans,Bihar,13.38746082,2,16-11-1998,7,,11,0,5674,0.994202643,52,0,01-12-2012,58314.12426,???
26610,114271,41 months,9.15%,3256.000874,AD,1 year,Rental,456841,Not Verified,02-08-2009,Education,Himachal Pradesh,14.56813218,0,15-10-2001,,,8,0,40643,0.0905346,17,0,01-01-2012,45212.86087,???
26611,22069,39 months,7.64%,640.8224209,AC,3 years,Under Mortgage,1450157,Not Verified,21-11-2011,Home Renovation,Maharashtra,24.78807546,0,05-09-1981,,,10,0,458509,0.791651047,28,0,01-10-2012,17628.12242,???
26612,275049,46 months,11.09%,7366.915676,BD,9 years,Under Mortgage,756277,Not Verified,14-03-2010,Pay-off Other Loans,Meghalaya,11.87737002,0,09-10-1995,,,8,0,216269,0.454400498,24,0,01-12-2013,7859.385676,???
26613,98995,54 months,13.42%,2452.25835,CB,10 years and above,Under Mortgage,663347,Verified,28-10-2010,Pay Credit Card Bill,Uttarakhand,16.42299628,0,03-04-1996,84,,12,0,225656,0.544848967,24,0,01-06-2011,2452.25835,???
26614,274941,43 months,10.76%,7733.430042,BC,10 years and above,Under Mortgage,1459335,Source Verified,12-05-2010,Pay Credit Card Bill,West Bengal,19.75800667,0,04-03-1994,,,12,0,116021,0.658543523,53,0,01-04-2011,249598.79,???
26615,275004,39 months,11.42%,8474.023882,BB,2 years,Under Mortgage,2921781,Verified,18-08-2009,Home Renovation,Assam,5.066534772,0,19-03-1980,,,10,0,34379,0.106378952,26,0,01-09-2012,8815.573882,???
26616,66077,41 months,12.25%,1980.443781,BD,1 year,Rental,415022,Source Verified,29-01-2012,Pay-off Other Loans,Punjab,11.0230208,0,05-09-2007,,,9,0,80769,0.663189036,12,0,01-08-2014,20933.77378,???
26617,211339,60 months,11.19%,4614.907958,BE,5 years,Under Mortgage,957170,Verified,26-05-2011,Pay-off Other Loans,Himachal Pradesh,12.96711855,0,21-12-1987,46,,14,0,146723,0.453640784,29,0,01-09-2015,4614.907958,???
26618,87947,48 months,13.81%,2394.687803,CE,5 years,Rental,820621,Source Verified,25-04-2009,Pay Credit Card Bill,Uttar Pradesh,13.21198465,0,14-11-1990,44,,7,0,102589,0.635109189,38,0,01-03-2013,2439.127803,???
26619,92459,39 months,7.25%,2668.256825,AD,8 years,Under Mortgage,699065,Verified,26-03-2011,Pay-off Other Loans,Manipur,7.699882215,0,03-04-2001,,,10,0,67878,0.239210043,49,0,01-04-2013,38588.97683,???
26620,252852,60 months,11.57%,5569.533453,BC,10 years and above,Own,508343,Verified,21-11-2011,Agriculture,Punjab,7.005793489,0,01-05-1993,,,9,0,65681,0.125492906,24,0,01-06-2015,89039.73345,???
26621,44081,42 months,7.35%,1193.466675,AD,10 years and above,Rental,1053217,Not Verified,06-10-2011,Install Solar Panel,Uttar Pradesh,20.13177549,0,22-03-1993,,,4,0,272438,0.88205385,22,0,01-02-2015,1308.966675,???
26622,109936,48 months,8.52%,2710.584224,AD,Less than 1 year,Own,1003252,Not Verified,13-12-2009,Home Renovation,Tripura,2.695094591,0,23-11-1996,,,6,0,113666,0.276655222,27,0,01-10-2013,2756.014224,???
26623,27525,47 months,6.99%,671.2063807,AC,2 years,Rental,407320,Not Verified,18-09-2010,Others,Madhya Pradesh,24.26787608,0,08-04-2001,,,7,0,26262,0.309592072,15,0,01-06-2014,719.3863807,???
26624,132026,41 months,5.48%,3538.147719,AA,4 years,Under Mortgage,1540596,Source Verified,22-09-2011,Others,Madhya Pradesh,6.651389782,0,30-10-2001,,,14,0,36872,0.082829476,39,0,01-01-2015,3684.777719,???
26625,176174,47 months,14.75%,4957.130813,CD,2 years,Under Mortgage,1090487,Source Verified,31-08-2011,Medical,Karnataka,1.234738918,0,08-04-1997,40,,10,0,0,0,30,0,01-06-2012,177065.9908,???
26626,274871,39 months,14.56%,8888.202622,DA,Less than 1 year,Rental,1321047,Verified,10-11-2009,Pay Credit Card Bill,Uttar Pradesh,20.97301091,0,21-11-1994,,,9,0,864002,0.859858835,18,0,01-11-2010,8888.202622,???
26627,114340,43 months,7.57%,3044.525463,AD,5 years,Under Mortgage,457291,Not Verified,24-05-2010,Others,Uttarakhand,11.12088197,0,22-04-1996,,,10,0,106453,0.16511496,22,0,01-10-2013,3412.475463,???
26628,55106,38 months,17.01%,1885.548369,EB,2 years,Under Mortgage,1181741,Not Verified,17-04-2010,Pay-off Other Loans,Maharashtra,14.42728215,0,12-02-2000,55,,9,0,28364,0.675351659,18,0,01-08-2010,1885.548369,???
26629,110124,41 months,11.70%,3271.59657,BC,4 years,Rental,536874,Verified,18-10-2011,Pay-off Other Loans,Bihar,24.46561786,1,01-05-2001,5,,20,0,58866,0.358989655,46,0,01-04-2012,3271.59657,???
26630,219837,38 months,7.85%,6552.55799,AE,6 years,Own,941183,Verified,22-08-2010,Pay Credit Card Bill,Bihar,12.82711281,0,07-05-1989,,,15,0,290689,0.344618517,26,0,01-09-2013,6865.17799,???
26631,55051,45 months,20.81%,1772.187398,FA,10 years and above,Rental,1160809,Source Verified,11-12-2011,Pay-off Other Loans,Bihar,19.7831172,0,05-05-2001,,,33,0,288491,0.840921897,37,0,01-04-2015,9746.857398,???
26632,93490,43 months,11.44%,2660.416062,BB,4 years,Rental,283190,Not Verified,02-06-2009,Pay-off Other Loans,Uttar Pradesh,18.70269192,0,17-12-2001,,,8,0,117364,0.491285292,7,0,01-11-2012,2832.456062,???
26633,72636,38 months,15.59%,2434.248011,FA,Less than 1 year,Under Mortgage,1762220,Not Verified,04-02-2008,Pay-off Other Loans,Himachal Pradesh,25.48243832,0,05-04-1994,0,0,16,0,1398737,0.755879754,32,0,01-03-2011,2510.038011,???
26634,142883,39 months,13.60%,4553.096759,CB,Less than 1 year,Rental,390593,Not Verified,22-11-2010,Pay-off Other Loans,Uttar Pradesh,20.10182163,0,30-06-2004,,,7,0,90448,0.58320372,19,0,01-12-2013,5209.686759,???
26635,220111,41 months,7.15%,6067.216646,AC,5 years,Rental,1788650,Verified,01-10-2011,Pay-off Other Loans,Uttar Pradesh,13.14269417,0,13-12-1992,,,16,0,315213,0.487284305,40,0,01-05-2012,203862.5066,???
26636,109902,40 months,5.69%,3023.015215,AB,1 year,Under Mortgage,668920,Source Verified,31-03-2011,Holiday,Uttar Pradesh,2.488664014,0,19-10-1997,,,7,0,32363,0.123975867,22,0,01-06-2013,38996.09522,???
26637,34196,40 months,13.57%,1067.548125,CA,1 year,Rental,724766,Source Verified,02-11-2011,Relocation,Uttar Pradesh,2.998299036,1,01-11-2004,24,,12,0,48329,0.413899445,17,0,01-02-2015,1122.438125,???
26638,132032,53 months,18.39%,3656.084743,FA,3 years,Rental,740108,Source Verified,23-03-2011,Purchase Car,Uttar Pradesh,11.8933927,8,03-04-1997,15,99,7,1,25692,0.652842511,15,0,01-04-2011,3656.084743,???
26639,215491,40 months,15.50%,6932.092167,DD,10 years and above,Under Mortgage,742720,Not Verified,07-02-2010,Pay-off Other Loans,Jharkhand,13.57432594,0,22-03-1997,,94,14,1,123825,0.657454417,26,0,01-08-2010,6932.092167,???
26640,132060,44 months,13.23%,3804.123521,CD,Less than 1 year,Rental,568240,Not Verified,05-01-2011,Pay Credit Card Bill,Karnataka,16.47674623,0,18-02-2005,,,10,0,204991,0.846454144,13,0,01-08-2014,4317.823521,???
26641,59530,36 months,16.00%,2092.796478,EA,2 years,Rental,825455,Verified,11-02-2011,Pay Credit Card Bill,Tamil Nadu,16.77020634,1,24-01-2004,24,,29,0,133444,0.630733301,38,0,01-03-2011,57567.88648,???
26642,66185,36 months,15.24%,2301.983797,DC,4 years,Rental,497703,Not Verified,06-01-2010,Pay-off Other Loans,Maharashtra,22.33056867,0,28-04-1997,,,13,0,128708,0.938211881,22,0,01-11-2012,2348.183797,???
26643,87998,43 months,13.01%,2571.305073,DB,Less than 1 year,Under Mortgage,936468,Not Verified,25-03-2008,Pay Credit Card Bill,Jharkhand,27.7874433,0,19-03-1993,0,0,15,0,523177,0.629721818,35,0,01-11-2010,27888.57507,???
26644,87927,39 months,13.69%,2805.669128,CC,6 years,Rental,902962,Not Verified,20-03-2010,Pay Credit Card Bill,Uttar Pradesh,12.91423179,0,09-12-1998,,,7,0,313183,0.952439563,14,0,01-09-2010,2805.669128,???
26645,109924,60 months,15.32%,2633.717118,DD,5 years,Under Mortgage,828351,Not Verified,31-12-2010,Marriage,Maharashtra,17.91917429,0,16-06-2000,,,13,0,193515,0.698654108,27,0,01-01-2014,418.9771181,???
26646,231092,37 months,8.90%,7164.934713,AE,5 years,Under Mortgage,941228,Verified,16-11-2011,Medical,Tripura,8.792372381,0,07-08-2000,,,10,0,122167,0.341994802,19,0,01-10-2014,7299.684713,???
26647,158585,42 months,12.94%,4715.275124,CB,9 years,Rental,666622,Source Verified,24-06-2009,Pay-off Other Loans,Assam,10.49520225,0,31-03-1995,41,,11,0,45071,0.300068324,30,0,01-10-2012,4753.775124,???
26648,352148,60 months,23.50%,10028.32415,GC,10 years and above,Under Mortgage,886175,Verified,31-10-2011,Pay-off Other Loans,Karnataka,17.94793022,0,24-12-1987,26,,12,0,249646,0.952261366,30,0,01-09-2015,10028.32415,???
26649,142825,46 months,13.10%,3966.33949,CB,Less than 1 year,Rental,341587,Not Verified,22-04-2010,Pay-off Other Loans,Jammu and Kashmir,20.34825146,0,08-12-2002,,,9,0,187251,0.519790426,10,0,01-11-2013,8981.23949,???
26650,161534,54 months,19.63%,4527.44469,EC,1 year,Rental,425759,Verified,03-12-2011,Pay-off Other Loans,Manipur,22.48656151,0,10-10-1998,36,,8,0,269314,0.953030068,16,0,01-03-2013,672.8246899,???
26651,246472,52 months,21.68%,7350.033462,FC,3 years,Under Mortgage,1919708,Source Verified,25-11-2011,Pay-off Other Loans,Kerala,18.81473296,0,10-07-1988,,,14,0,394021,0.756914573,51,0,01-03-2013,8862.863462,???
26652,132098,42 months,10.11%,3747.622111,BD,1 year,Rental,914352,Verified,31-01-2011,Pay-off Other Loans,Uttar Pradesh,17.36673132,0,09-12-1998,77,,10,0,173282,0.767576628,22,0,01-05-2014,8296.452111,???
26653,110161,45 months,5.84%,2731.735962,AB,1 year,Rental,580546,Not Verified,20-01-2011,Others,West Bengal,1.430627401,0,04-11-1990,,,5,0,13791,0.049353412,7,0,01-12-2012,66320.09596,???
26654,131862,48 months,9.98%,3343.080941,BA,10 years and above,Rental,442379,Verified,22-01-2012,Pay-off Other Loans,Meghalaya,24.69624321,0,30-03-1990,,,13,0,165902,0.729267061,23,0,01-11-2015,3536.570941,???
26655,32820,37 months,13.75%,1093.23962,CD,3 years,Under Mortgage,499288,Source Verified,24-04-2011,Agriculture,Tripura,8.402942333,0,18-03-2001,,,27,0,6709,0.0372859,34,0,01-04-2014,1152.41962,???
26656,142911,40 months,9.64%,4191.920997,AE,10 years and above,Under Mortgage,618397,Not Verified,26-07-2009,Pay-off Other Loans,Odisha,20.81733493,0,30-03-1993,,,5,0,655206,0.257679809,32,0,01-05-2011,73054.011,???
26657,104110,46 months,10.22%,2745.106622,BC,Less than 1 year,Rental,258890,Source Verified,07-05-2011,Home Renovation,Tripura,16.73730666,1,11-10-2005,20,,6,0,14608,0.265852154,10,0,01-06-2013,2745.106622,???
26658,77175,60 months,7.84%,1559.021378,AE,6 years,Under Mortgage,655715,Not Verified,10-04-2011,Pay-off Other Loans,Jharkhand,10.33989178,0,13-04-2002,,,11,0,17854,0.089221732,14,0,01-04-2015,18220.83138,???
26659,85981,39 months,14.11%,2761.524859,CE,5 years,Rental,211040,Not Verified,10-02-2010,Education,Uttarakhand,15.54297092,1,03-10-2005,8,,5,0,43747,0.365510709,3,0,01-07-2010,2761.524859,???
26660,88061,39 months,10.96%,2694.274388,BD,10 years and above,Under Mortgage,917632,Not Verified,02-05-2010,Pay Credit Card Bill,West Bengal,13.59045974,0,22-08-1998,,,3,0,1925612,0.376776743,41,0,01-09-2012,23258.44439,???
26661,65830,42 months,9.00%,1833.086698,AE,1 year,Rental,762105,Not Verified,30-10-2009,Marriage,Bihar,9.257779942,0,19-04-1997,,,13,0,212532,0.349255937,24,0,01-04-2012,22090.7967,???
26662,44182,47 months,13.59%,1217.406462,CB,4 years,Rental,334585,Verified,24-09-2011,Others,Andhra Pradesh,5.281417929,0,17-04-2000,,97,5,1,40686,0.720002409,9,0,01-06-2015,1390.766462,???
26663,137544,42 months,13.07%,4098.483661,CB,5 years,Under Mortgage,660948,Not Verified,18-04-2010,Pay-off Other Loans,Haryana,18.17811003,0,10-05-1994,38,,9,0,234675,0.684500677,28,0,01-10-2013,99.32366094,???
26664,21996,46 months,6.91%,545.6741668,AE,5 years,Under Mortgage,657241,Not Verified,26-01-2011,Pay Credit Card Bill,Punjab,16.11760008,0,27-05-1999,,,18,0,211346,0.362326263,35,0,01-11-2012,15126.17417,???
26665,103566,60 months,14.36%,2429.42601,CB,Less than 1 year,Under Mortgage,691180,Source Verified,13-12-2011,Pay-off Other Loans,Bihar,24.57418792,0,07-07-1996,77,,13,0,219049,0.464322553,24,0,01-09-2015,2429.42601,???
26666,53973,40 months,14.18%,1700.967571,DA,4 years,Under Mortgage,590331,Not Verified,06-04-2009,Pay-off Other Loans,Punjab,3.69838683,0,04-01-1993,41,,13,0,46894,0.886480384,27,0,01-07-2012,1775.877571,???
26667,43928,45 months,7.28%,1118.422265,AC,1 year,Under Mortgage,708255,Not Verified,05-10-2010,Pay-off Other Loans,Maharashtra,5.611929773,1,06-04-1994,14,,6,0,64145,0.347554673,28,0,01-02-2012,28279.51227,???
26668,27488,47 months,15.41%,782.5859397,CD,6 years,Rental,436690,Not Verified,19-01-2012,Pay-off Other Loans,Madhya Pradesh,14.9734033,0,19-08-2006,,,9,0,78815,0.658922533,14,0,01-11-2012,27680.22594,???
26669,82525,46 months,16.37%,2427.382017,EA,Less than 1 year,Rental,559311,Source Verified,07-02-2011,Pay-off Other Loans,Uttar Pradesh,13.22262032,0,24-02-2005,38,,9,0,81288,0.955844557,21,0,01-11-2014,2595.462017,???
26670,54887,42 months,7.81%,1497.895932,AE,9 years,Under Mortgage,660628,Verified,07-06-2010,Pay-off Other Loans,Rajasthan,16.39177045,0,09-06-1995,,,20,0,252870,0.4095338,36,0,01-10-2013,1591.285932,???
26671,219915,46 months,15.99%,6425.738712,EA,2 years,Rental,871093,Not Verified,09-11-2010,Pay-off Other Loans,Bihar,22.12347635,0,17-12-1996,36,,15,0,96963,0.152928551,37,0,01-01-2013,135651.4287,???
26672,66102,40 months,12.98%,2044.518049,CC,1 year,Rental,403589,Not Verified,22-04-2009,Pay-off Other Loans,West Bengal,23.57957599,0,19-06-1997,,,17,0,71926,0.391240547,23,0,01-10-2012,897.2180491,???
26673,38375,38 months,6.29%,1116.342434,AA,10 years and above,Under Mortgage,593051,Verified,31-08-2010,Home Renovation,Uttarakhand,7.036110472,0,23-03-1985,,,11,0,372442,0.325379483,28,0,01-09-2013,1187.402434,???
26674,43011,38 months,12.55%,1377.443722,BE,3 years,Rental,226968,Not Verified,22-01-2010,Agriculture,Haryana,23.71899706,0,05-07-2003,52,,6,0,8192,0.291449688,12,0,01-06-2012,12432.33372,???
26675,55046,48 months,7.20%,1323.154264,AC,2 years,Under Mortgage,1085812,Not Verified,22-02-2010,Agriculture,Uttar Pradesh,8.43811223,0,23-05-1990,,,5,0,309319,0.599611908,29,0,01-02-2011,54957.72426,???
26676,220125,44 months,11.37%,6140.780193,BE,10 years and above,Under Mortgage,824677,Not Verified,02-03-2010,Pay Credit Card Bill,Odisha,19.32509986,1,06-03-1991,18,,20,0,561120,0.401440357,51,0,01-04-2011,189051.0902,???
26677,115396,59 months,15.09%,2781.966762,DB,4 years,Rental,537993,Verified,25-06-2010,Pay-off Other Loans,Uttar Pradesh,22.92639266,0,22-10-2004,,,7,0,136141,0.632252606,14,0,01-02-2014,38103.95676,???
26678,19730,38 months,11.21%,619.2428412,BE,3 years,Rental,378389,Source Verified,01-06-2010,Others,Tripura,18.47280232,0,09-11-1988,,,6,0,177838,0.911452154,21,0,01-07-2013,672.7028412,???
26679,54826,47 months,11.66%,1458.539947,BC,Less than 1 year,Rental,769598,Verified,22-12-2011,Others,Haryana,14.1595286,0,04-07-1996,,90,7,1,57366,0.64676888,13,0,01-09-2015,3303.129947,???
26680,87877,48 months,11.55%,2294.892363,BD,7 years,Own,768593,Not Verified,04-08-2010,Home Renovation,Manipur,13.23969946,1,10-11-1998,2,,4,0,151219,0.389204338,14,0,01-06-2014,2454.722363,???
26681,22194,36 months,12.74%,744.9839168,BE,5 years,Rental,662360,Not Verified,25-01-2010,Pay-off Other Loans,Kerala,4.556107759,0,25-07-2000,49,,11,0,32575,0.194657627,26,0,01-12-2012,794.4839168,???
26682,147364,37 months,11.59%,4756.063923,BB,8 years,Rental,390607,Verified,08-11-2009,Pay-off Other Loans,Bihar,20.24561863,0,20-03-1995,,,18,0,245200,0.254839194,37,176.5705438,01-12-2012,1217.473923,???
26683,148643,44 months,9.93%,4044.392676,BA,10 years and above,Under Mortgage,637318,Verified,14-01-2012,Pay-off Other Loans,Mizoram,20.14997004,1,05-05-1995,25,,10,0,160392,0.62500108,32,0,01-05-2014,67260.84268,???
26684,143031,36 months,13.70%,4867.819627,CD,9 years,Under Mortgage,609292,Verified,01-02-2010,Pay-off Other Loans,Gujarat,13.65377474,0,27-09-1998,66,,7,0,223980,0.73427706,26,0,01-02-2011,98.32962747,???
26685,131886,36 months,16.31%,4657.18048,DA,9 years,Rental,400516,Verified,23-01-2012,Pay Credit Card Bill,Mizoram,14.3346694,0,21-09-2001,,,8,0,131692,0.892962472,10,0,01-07-2013,71347.98048,???
26686,52693,48 months,10.93%,1360.151491,BC,10 years and above,Under Mortgage,1037869,Source Verified,11-09-2011,Home Renovation,Uttar Pradesh,13.30575564,0,11-03-1990,,,14,0,232780,0.602094242,30,0,01-09-2014,3549.371491,???
26687,54845,43 months,14.21%,1635.072417,CD,Less than 1 year,Rental,180570,Source Verified,09-10-2010,Pay-off Other Loans,Uttar Pradesh,7.936835995,0,09-01-2004,,,2,0,38796,0.949796305,12,0,01-12-2011,217.7224169,???
26688,142996,47 months,13.02%,3900.201984,CB,2 years,Rental,339565,Not Verified,24-05-2010,Pay-off Other Loans,Uttarakhand,19.5900562,0,14-03-2004,,,15,0,191417,0.777862249,22,0,01-03-2014,4041.331984,???
26689,46181,60 months,20.77%,1243.379602,FA,10 years and above,Under Mortgage,854779,Not Verified,16-12-2011,Pay-off Other Loans,Jammu and Kashmir,14.87944077,0,08-05-2001,,92,7,1,9901,0.791756031,8,0,01-09-2015,1243.379602,???
26690,30623,56 months,11.44%,708.2819091,BD,4 years,Under Mortgage,267323,Verified,17-10-2010,Home Renovation,Uttar Pradesh,0.974291123,0,02-09-2004,48,,4,0,1752,0.057285522,5,0,01-05-2013,15295.49191,???
26691,242059,48 months,12.35%,6415.595488,BD,5 years,Under Mortgage,1109796,Verified,22-12-2011,Pay-off Other Loans,West Bengal,19.0048345,0,12-06-1998,,,13,0,306488,0.512558542,26,0,01-03-2014,145338.0055,???
26692,175971,42 months,13.96%,5320.394425,CD,9 years,Rental,1208408,Verified,10-10-2009,Pay-off Other Loans,Nagaland,14.88009487,2,26-09-2001,12,,9,0,261928,0.604125443,29,0,01-08-2010,161063.6744,???
26693,176042,48 months,11.76%,4615.464481,BC,7 years,Rental,739707,Source Verified,12-07-2009,Buy House,Uttar Pradesh,2.534454182,0,09-11-1996,,,6,0,72050,0.419894325,14,0,01-04-2013,463.32,???
26694,55101,60 months,17.59%,1386.817283,ED,Less than 1 year,Under Mortgage,519885,Not Verified,09-08-2010,Purchase Car,Uttarakhand,6.053645373,0,26-07-2007,,,7,0,18528,0.657801577,5,0,01-01-2014,23294.08728,???
26695,266658,42 months,11.53%,7746.604965,BE,Less than 1 year,Rental,1264405,Verified,25-04-2010,Pay Credit Card Bill,Jammu and Kashmir,12.92028117,0,01-09-1993,,,8,0,292091,0.704750171,20,0,01-09-2013,8099.044965,???
26696,54990,44 months,14.81%,1627.195571,CE,4 years,Rental,393291,Not Verified,16-10-2010,Others,West Bengal,3.824134087,0,27-10-2007,,,5,0,23985,0.747608123,5,0,01-06-2014,3.485571304,???
26697,110067,38 months,9.01%,3340.295966,BA,2 years,Rental,1807535,Not Verified,04-02-2008,Pay Credit Card Bill,Odisha,0.518709604,0,16-08-1998,34,0,7,0,180,0.017514484,12,0,01-04-2010,40304.03597,???
26698,44032,42 months,7.63%,1197.963913,AD,3 years,Rental,434483,Not Verified,10-09-2010,Holiday,Bihar,22.39289489,0,26-03-2004,,,9,0,25186,0.724378201,14,0,01-02-2014,1227.223913,???
26699,55133,40 months,11.74%,1672.222134,BC,7 years,Under Mortgage,710532,Not Verified,13-10-2011,Medical,Rajasthan,5.849843954,2,11-12-1983,5,,15,0,254462,0.651081839,30,0,01-07-2014,818.0721342,???
26700,65857,39 months,13.11%,2082.968501,CB,3 years,Rental,697618,Not Verified,16-01-2010,Agriculture,Bihar,11.01548692,0,08-04-1998,,,12,0,226323,0.846278404,37,0,01-02-2013,2226.518501,???
26701,54856,44 months,7.33%,1425.60984,AC,1 year,Rental,524874,Verified,22-09-2010,Pay-off Other Loans,Himachal Pradesh,14.60091177,0,23-06-1997,,,11,0,74781,0.219299853,24,0,01-04-2014,1523.39984,???
26702,88199,44 months,12.56%,2511.487588,BE,7 years,Rental,1753604,Source Verified,13-11-2011,Others,Madhya Pradesh,9.556077964,0,10-05-1996,49,,14,0,86856,0.855250433,33,0,01-06-2015,2637.217588,???
26703,27633,40 months,14.80%,879.3003737,CE,10 years and above,Rental,641330,Not Verified,05-08-2010,Medical,Uttar Pradesh,13.24094825,0,18-04-1995,32,,8,0,17717,0.854888527,21,0,01-10-2013,929.6803737,???
26704,175856,41 months,5.91%,4746.929489,AB,10 years and above,Under Mortgage,1039730,Source Verified,25-11-2010,Others,Arunachal Pradesh,15.41317876,0,23-11-1991,,,6,0,51483,0.258227369,20,0,01-06-2013,51836.38949,???
26705,82486,43 months,7.50%,2193.648135,AD,8 years,Own,813797,Not Verified,15-05-2010,Pay-off Other Loans,Bihar,16.11068997,0,23-07-1996,,,8,0,232190,0.561450779,18,0,01-11-2013,2386.478135,???
26706,106705,39 months,13.77%,3409.287569,CB,Less than 1 year,Rental,659867,Not Verified,30-07-2010,Pay-off Other Loans,West Bengal,23.26912698,0,12-01-1999,,,13,0,311681,0.749958787,22,200.1686144,01-12-2012,34436.65757,???
26707,384811,60 months,17.46%,9658.378375,DC,10 years and above,Own,761132,Verified,15-01-2012,Others,Assam,14.29221096,0,30-01-1985,,,14,0,259713,0.548981173,22,0,01-02-2013,326940.9484,???
26708,109998,40 months,7.73%,3128.427625,AD,1 year,Rental,476955,Not Verified,29-01-2012,Pay-off Other Loans,Uttar Pradesh,25.56192632,0,01-11-2003,,,7,0,89945,0.380178816,15,0,01-04-2015,53.24,???
26709,109840,39 months,11.02%,3363.722988,BA,10 years and above,Rental,724263,Not Verified,09-06-2009,Others,West Bengal,19.40360066,0,09-06-2000,,,10,0,225739,0.43321668,22,0,01-05-2012,14183.76299,???
